id,industry,location,funding_rounds,total_funding_inr,team_size,competitor_density,founder_experience_years,has_patent,success
3904,EdTech,Odisha - Cuttack,4,93625822.2526363,30,17,24,0,0
3905,Gaming,Kerala - Kottayam,1,46337546.960519694,56,6,16,0,1
3906,CleanEnergy,Haryana - Sirsa,3,141176543.57036424,22,3,22,0,1
3907,Manufacturing,Punjab - Sahibzada Ajit Singh Nagar (Mohali),1,49032090.3409373,40,13,4,0,0
3908,E-commerce,Uttar Pradesh - Kanshiram Nagar (Kasganj),5,238690602.84093276,14,23,2,1,0
3909,Fashion,West Bengal - Nadia,4,133777586.98827559,50,3,22,0,1
3910,PropTech,Uttar Pradesh - Deoria,3,62305108.30834159,20,20,0,0,0
3911,Entertainment,Punjab - Barnala,3,131672132.35216288,4,9,21,0,1
3912,Entertainment,Telangana - Komaram Bheem Asifabad,5,210686700.46472293,35,23,6,1,0
3913,Fashion,Tamil Nadu - Ramanathapuram,5,128197619.69534354,39,4,24,0,1
3914,DeepTech,Arunachal Pradesh - Kurung Kumey,3,26516235.690210924,20,2,24,0,1
3915,PropTech,Odisha - Sonepur,5,102088490.91680354,33,5,6,1,1
3916,Gaming,Punjab - Fatehgarh Sahib,5,231543083.02327198,48,8,20,0,0
3917,FinTech,Nagaland - Phek,4,180685767.6158647,37,2,22,0,1
3918,Travel & Tourism,Madhya Pradesh - Jhabua,1,15022958.303750329,52,5,16,0,1
3919,Logistics,Rajasthan - Pratapgarh,2,100907828.96552493,40,6,6,1,0
3920,D2C Brands,Tripura - Unakoti,3,110096144.27195066,53,7,12,0,1
3921,AgriTech,Chhattisgarh - Durg,2,108050547.6076299,54,13,12,1,1
3922,EdTech,Bihar - Bhojpur,3,214801165.16240138,15,9,9,1,1
3923,Logistics,Karnataka - Chamarajanagar,3,84423185.05063498,8,7,19,0,1
3924,Travel & Tourism,Uttar Pradesh - Ballia,1,31048055.144158937,21,4,1,1,0
3925,AI/ML,Chhattisgarh - Durg,3,167283220.01035514,33,5,5,1,1
3926,FinTech,Uttar Pradesh - Pilibhit,3,228559991.33197927,47,3,6,0,0
3927,EdTech,Uttar Pradesh - Shahjahanpur,1,41459211.0248468,55,17,12,1,0
3928,Manufacturing,Uttar Pradesh - Kanpur Dehat,5,88482435.830143,58,19,22,0,1
3929,EdTech,Gujarat - Jamnagar,2,150250764.617833,32,13,7,0,0
3930,FinTech,Telangana - Karimnagar,3,120699885.94829267,23,1,20,0,1
3931,Fashion,Jammu and Kashmir - Ganderbal,1,39552458.78154591,6,5,12,1,0
3932,PropTech,Chhattisgarh - Mungeli,3,136456897.05233467,32,23,10,1,0
3933,Web3,Uttar Pradesh - Ghaziabad,1,23937830.447178368,16,9,9,1,0
3934,Entertainment,Gujarat - Rajkot,2,127704012.87032677,45,4,23,0,1
3935,EdTech,Uttar Pradesh - Hathras,4,212313083.6762928,18,10,3,1,1
3936,SaaS,Uttar Pradesh - Shamali (Prabuddh Nagar),5,383076348.94141865,57,14,9,0,0
3937,Automotive,Maharashtra - Chandrapur,4,81166434.99542144,54,10,16,0,1
3938,CleanEnergy,Punjab - Muktsar,1,51435085.442657165,38,1,7,0,0
3939,Healthcare,Bihar - Kishanganj,3,131242670.47035953,20,23,19,1,0
3940,FinTech,Maharashtra - Latur,5,360532690.8892368,11,19,4,0,1
3941,Retail,Uttar Pradesh - Auraiya,2,14555028.496440988,45,17,19,0,1
3942,DeepTech,Uttar Pradesh - Bareilly,5,310300308.8321293,35,20,14,0,1
3943,CleanEnergy,Odisha - Jharsuguda,3,155188435.77366298,50,15,22,0,1
3944,Automotive,Odisha - Balangir,4,202264734.6514514,26,22,9,0,0
3945,Manufacturing,Rajasthan - Dholpur,1,70649107.63370721,38,6,18,0,1
3946,Entertainment,Uttar Pradesh - Shravasti,4,196939431.6403295,59,7,17,0,0
3947,DeepTech,Tamil Nadu - Kanchipuram,5,293471033.5597653,29,1,11,0,1
3948,Fashion,Chhattisgarh - Durg,3,160284157.40540206,16,5,1,0,0
3949,Food & Beverage,Uttarakhand - Almora,1,10212852.844858315,21,20,6,0,0
3950,Web3,Andhra Pradesh - Prakasam,3,40386757.38009281,56,20,10,0,0
3951,Gaming,Jammu and Kashmir - Bandipore,3,91161859.7820911,14,7,14,0,1
3952,Food & Beverage,West Bengal - Purba Medinipur (East Medinipur),5,278388123.2545207,21,2,11,0,0
3953,Travel & Tourism,Telangana - Medchal,4,27934786.82519505,44,21,9,0,1
3954,SaaS,Manipur - Bishnupur,3,188833975.44883326,32,23,12,0,0
3955,AI/ML,Tamil Nadu - Tirunelveli,3,60677200.736894414,19,3,21,0,1
3956,EdTech,Kerala - Thiruvananthapuram,3,140891913.49900627,42,2,1,0,0
3957,Web3,Odisha - Kendujhar (Keonjhar),1,20086765.62213725,49,16,23,0,0
3958,EdTech,Bihar - Madhubani,3,54592793.171683274,57,17,14,0,0
3959,Fashion,Andhra Pradesh - Visakhapatnam,3,90193042.3950369,29,21,21,0,1
3960,DeepTech,Lakshadweep (UT) - Amini,5,370565764.99908817,48,12,7,1,1
3961,Web3,Mizoram - Lawngtlai,3,68515120.80297825,5,5,5,0,1
3962,Travel & Tourism,Gujarat - Jamnagar,3,25917657.747389384,25,4,3,0,0
3963,Travel & Tourism,Jharkhand - Bokaro,5,355841621.5689002,45,24,7,1,1
3964,Logistics,Madhya Pradesh - Agar Malwa,1,37919804.16311796,46,16,19,0,0
3965,CleanEnergy,Uttar Pradesh - Gautam Buddha Nagar,4,206316896.91344878,10,18,21,0,1
3966,E-commerce,Madhya Pradesh - Gwalior,5,357166878.4766507,48,13,4,1,1
3967,Food & Beverage,Arunachal Pradesh - Kurung Kumey,1,61673718.73777704,51,20,19,0,0
3968,SaaS,Bihar - Banka,4,258951508.4264321,53,21,22,0,0
3969,E-commerce,Gujarat - Porbandar,3,123021034.07152154,33,9,7,1,0
3970,PropTech,Madhya Pradesh - Jabalpur,5,282753253.1023784,33,16,13,0,1
3971,SaaS,Jharkhand - Gumla,3,231847482.46675473,55,3,21,0,1
3972,Food & Beverage,Haryana - Karnal,5,358670899.8791026,40,17,16,0,1
3973,AI/ML,Manipur - Ukhrul,4,203728237.80333692,22,20,22,1,1
3974,AgriTech,Madhya Pradesh - Bhopal,1,11402942.987067131,59,10,19,0,0
3975,CleanEnergy,Kerala - Wayanad,5,392388046.3391244,45,22,1,0,0
3976,Automotive,Haryana - Yamunanagar,1,21911519.306629773,43,23,18,0,1
3977,AI/ML,Chhattisgarh - Korba,3,96170483.20034823,40,20,3,0,1
3978,DeepTech,Tamil Nadu - Tiruvannamalai,3,46579353.00123786,47,4,13,0,0
3979,Web3,Nagaland - Tuensang,4,69983999.855623,28,22,6,1,0
3980,DeepTech,West Bengal - Kolkata,4,258733469.31401917,48,1,24,0,1
3981,Logistics,Punjab - Gurdaspur,2,29240157.76046457,37,21,15,0,0
3982,Entertainment,Mizoram - Kolasib,2,38406313.85870494,9,16,9,0,0
3983,DeepTech,Uttarakhand - Tehri Garhwal,4,71447321.89457583,20,11,10,0,0
3984,E-commerce,Chhattisgarh - Raigarh,3,98291982.9051974,30,19,21,0,1
3985,Automotive,Tamil Nadu - Dindigul,1,57101462.63729424,20,8,4,0,1
3986,SaaS,Assam - Golaghat,4,213151089.96246523,6,5,24,1,1
3987,D2C Brands,Punjab - Tarn Taran,1,59352164.20219111,23,23,11,0,0
3988,SaaS,Chhattisgarh - Dhamtari,2,119021781.63665764,36,24,23,0,1
3989,E-commerce,Manipur - Tamenglong,1,5225052.931672621,11,8,23,0,1
3990,AI/ML,Jammu and Kashmir - Jammu,4,225361943.2836751,16,18,23,0,1
3991,Automotive,Uttar Pradesh - Bahraich,3,169028836.01519725,3,15,14,0,1
3992,Food & Beverage,Punjab - Sahibzada Ajit Singh Nagar (Mohali),4,38633525.187958255,54,18,23,1,1
3993,Web3,Uttar Pradesh - Kaushambi,5,185170456.22815683,43,13,23,1,1
3994,FinTech,Bihar - Saharsa,5,54492687.91813329,23,15,9,0,0
3995,PropTech,Chhattisgarh - Balod,5,96561252.24768248,49,21,22,1,1
3996,AI/ML,Uttar Pradesh - Amroha (J.P. Nagar),3,125193946.26524574,36,13,1,1,1
3997,Web3,Tripura - West Tripura,4,23603619.32247203,40,3,17,0,1
3998,Healthcare,Uttarakhand - Bageshwar,5,60624983.18387079,20,12,10,0,1
3999,SaaS,Uttar Pradesh - Mahoba,4,45476363.811725244,48,12,4,0,0
4000,Healthcare,Uttar Pradesh - Sonbhadra,2,28681615.566775534,13,10,5,0,1
4001,FinTech,Arunachal Pradesh - Changlang,5,43668414.93755578,35,1,12,0,0
4002,Entertainment,Punjab - Jalandhar,5,254528884.5898441,46,24,24,1,1
4003,Food & Beverage,Assam - Udalguri,3,55184258.880468875,59,6,16,0,1
4004,D2C Brands,Gujarat - Surendranagar,4,278780905.7859154,21,19,15,0,0
4005,Automotive,Nagaland - Mokokchung,3,214080059.11209753,52,24,22,0,1
4006,Entertainment,Tamil Nadu - Erode,3,170482602.42207816,8,13,22,0,1
4007,PropTech,Haryana - Rohtak,4,39486805.68944585,25,1,23,0,1
4008,D2C Brands,Assam - Hojai,2,143740560.84945515,4,19,0,1,0
4009,Healthcare,Uttar Pradesh - Mathura,4,145605277.31575632,7,6,12,1,1
4010,SaaS,Karnataka - Bagalkot,2,37167176.26930222,34,1,9,1,1
4011,Retail,Chhattisgarh - Surguja,3,190225208.5307328,54,23,12,0,1
4012,FinTech,Madhya Pradesh - Mandla,2,62003996.44962247,35,17,19,1,1
4013,Travel & Tourism,Gujarat - Rajkot,2,85910901.44230479,34,17,20,0,1
4014,Retail,Maharashtra - Palghar,2,121456093.3683066,30,21,17,0,1
4015,Healthcare,Andhra Pradesh - Vizianagaram,5,62920126.1942821,24,11,17,0,0
4016,CleanEnergy,Haryana - Rohtak,5,88582656.24389502,59,20,3,0,0
4017,Travel & Tourism,Andhra Pradesh - East Godavari,3,232925960.8784134,5,12,2,0,0
4018,Web3,Himachal Pradesh - Sirmaur (Sirmour),4,234063383.27481493,6,24,15,0,1
4019,Healthcare,Lakshadweep (UT) - Agatti,2,44668850.28859377,35,13,6,0,1
4020,Entertainment,Tamil Nadu - Chennai,5,240169863.983964,17,18,6,0,0
4021,FinTech,Tamil Nadu - Ramanathapuram,4,76396303.92946322,41,22,1,0,1
4022,Food & Beverage,Madhya Pradesh - Chhatarpur,2,139819410.94946545,48,24,15,0,1
4023,Healthcare,Haryana - Panipat,4,154584553.1224783,44,1,4,0,0
4024,Web3,Telangana - Vikarabad,1,65515314.004800946,43,3,20,0,1
4025,Retail,Chhattisgarh - Balrampur,2,155787393.54110926,4,17,7,0,0
4026,Manufacturing,Karnataka - Vijayapura (Bijapur),4,314262472.52771753,56,7,7,1,0
4027,Food & Beverage,Chhattisgarh - Baloda Bazar,2,30642438.759022884,44,17,10,0,0
4028,AI/ML,Manipur - Imphal West,2,151720895.32888955,50,16,19,0,1
4029,PropTech,Tamil Nadu - Karur,1,25271699.88454665,43,12,9,0,0
4030,AI/ML,Assam - Kamrup,4,127886688.52247931,50,8,0,0,0
4031,Travel & Tourism,Chhattisgarh - Bijapur,3,29173324.7840609,15,11,5,0,0
4032,Food & Beverage,Kerala - Idukki,5,267099037.19165993,56,3,6,1,1
4033,Fashion,Telangana - Jayashankar Bhoopalpally,2,106617587.10564275,34,12,16,0,0
4034,Fashion,Haryana - Hisar,2,126555845.02762061,29,4,23,0,1
4035,E-commerce,West Bengal - South 24 Parganas,2,151939014.60797942,58,9,15,1,1
4036,DeepTech,Assam - Tinsukia,2,74224990.98958376,42,22,13,0,0
4037,D2C Brands,Tamil Nadu - Virudhunagar,5,177787814.93723363,57,21,24,1,1
4038,Automotive,Odisha - Kandhamal,3,158800860.48136532,57,21,23,0,1
4039,Automotive,Jharkhand - Ranchi,1,55055775.51046461,16,17,2,0,0
4040,Healthcare,Uttar Pradesh - Bulandshahr,3,115179528.09540881,5,16,8,0,1
4041,Web3,Uttar Pradesh - Azamgarh,5,369748119.51125944,21,12,9,0,1
4042,Entertainment,Madhya Pradesh - Dewas,4,35651960.48029162,54,15,2,1,1
4043,Travel & Tourism,Punjab - Patiala,1,61730122.73770865,26,15,11,0,0
4044,AgriTech,Uttar Pradesh - Mirzapur,1,20595722.274423704,36,1,3,0,0
4045,Web3,Himachal Pradesh - Kullu,4,168598819.03705353,53,3,11,0,0
4046,Food & Beverage,Bihar - Munger (Monghyr),2,137723938.84283847,59,2,21,0,1
4047,Fashion,Uttar Pradesh - Mainpuri,5,148602180.84923458,54,17,22,0,1
4048,DeepTech,Arunachal Pradesh - Dibang Valley,4,289905414.9334091,40,12,12,1,1
4049,Retail,Jammu and Kashmir - Udhampur,3,116403757.24481298,54,5,23,0,1
4050,Gaming,Madhya Pradesh - Harda,3,173119346.90148383,58,11,6,0,1
4051,CleanEnergy,Assam - Sonitpur,4,236804287.22179958,23,19,18,0,1
4052,Travel & Tourism,Tamil Nadu - Krishnagiri,5,122805066.52017488,36,15,17,0,1
4053,D2C Brands,Punjab - Pathankot,1,72549319.10815907,55,7,17,0,1
4054,Automotive,Sikkim - South Sikkim,1,14345836.989931334,55,8,8,0,1
4055,DeepTech,Odisha - Koraput,2,98510668.17284423,48,10,6,0,0
4056,Automotive,Telangana - Nalgonda,5,373378150.04388624,29,6,6,0,1
4057,FinTech,Assam - Kamrup Metropolitan,3,21973497.520338345,11,21,20,0,1
4058,Manufacturing,Chhattisgarh - Bijapur,3,134531489.69101274,17,15,12,1,1
4059,EdTech,Kerala - Malappuram,2,46965680.40540591,50,10,5,0,1
4060,AgriTech,Bihar - Muzaffarpur,3,58302769.006524265,24,21,6,0,0
4061,PropTech,Jammu and Kashmir - Leh,2,45064972.394508146,20,17,12,0,0
4062,SaaS,Gujarat - Ahmedabad,2,145403069.94750586,2,22,24,0,1
4063,Gaming,Delhi (NCT) - East Delhi,4,147654760.25082064,2,6,19,0,1
4064,AgriTech,Daman and Diu (UT) - Daman,1,22692175.005971085,54,19,5,0,0
4065,Fashion,Odisha - Deogarh,5,372834053.10219556,47,20,16,0,0
4066,E-commerce,Telangana - Vikarabad,5,145606499.22193167,59,20,22,0,0
4067,FinTech,Punjab - Kapurthala,1,59259992.93988373,27,6,19,1,1
4068,AgriTech,Rajasthan - Karauli,5,226439702.20002204,35,14,17,0,1
4069,PropTech,Madhya Pradesh - Dindori,3,167812291.46052206,3,24,19,1,1
4070,Fashion,Madhya Pradesh - Sidhi,3,56102154.07490672,29,13,7,0,0
4071,PropTech,Gujarat - Patan,5,279447772.3017221,21,13,17,0,1
4072,Food & Beverage,Telangana - Wanaparthy,4,291746445.8233199,43,9,14,0,0
4073,Fashion,Himachal Pradesh - Shimla,5,62839402.50370357,48,9,0,0,0
4074,AI/ML,Madhya Pradesh - Khargone,2,58979586.732380755,28,21,0,0,0
4075,Entertainment,Assam - Dima Hasao,2,155890668.56003767,29,24,6,1,0
4076,Healthcare,Assam - Dima Hasao,1,21889732.967253882,32,8,15,0,0
4077,Retail,Uttar Pradesh - Mahoba,3,28400279.430192444,48,10,22,0,1
4078,Manufacturing,Rajasthan - Jhalawar,4,36517681.33469469,8,20,19,0,1
4079,E-commerce,Himachal Pradesh - Una,5,128237227.72131673,9,4,13,0,1
4080,Food & Beverage,Telangana - Medak,2,84230987.78286967,33,3,20,1,1
4081,AI/ML,Uttarakhand - Tehri Garhwal,3,75486168.96125826,12,13,11,0,1
4082,FinTech,Telangana - Jagtial,3,78203152.17645273,49,21,4,0,0
4083,Manufacturing,Uttar Pradesh - Shamali (Prabuddh Nagar),4,269427686.7868737,27,8,6,0,0
4084,Gaming,Meghalaya - North Garo Hills,4,250082060.31103668,56,24,11,1,0
4085,Entertainment,West Bengal - Nadia,4,113253850.35999545,26,9,18,0,1
4086,Manufacturing,Meghalaya - North Garo Hills,4,123466267.73957741,8,14,4,0,0
4087,Food & Beverage,Maharashtra - Aurangabad,2,155450952.2626397,21,1,6,0,0
4088,Travel & Tourism,Himachal Pradesh - Chamba,4,305046707.38290477,42,14,6,1,0
4089,Web3,Karnataka - Ramanagara,3,233947317.703617,58,12,12,1,1
4090,AI/ML,Bihar - West Champaran,3,226319969.05986208,52,4,24,1,1
4091,AgriTech,Uttar Pradesh - RaeBareli,5,260532662.01300132,59,22,19,0,1
4092,CleanEnergy,Tamil Nadu - Ariyalur,3,84373343.35729606,31,21,16,0,1
4093,Travel & Tourism,Jharkhand - Dhanbad,3,233136630.8283556,57,4,4,0,0
4094,FinTech,Punjab - Gurdaspur,2,121422740.1323946,2,13,13,1,1
4095,EdTech,Uttar Pradesh - Jalaun,3,175030382.13190264,19,16,10,1,1
4096,Web3,West Bengal - Darjeeling,1,64821444.697950065,9,11,19,0,1
4097,Fashion,Punjab - Muktsar,3,149655322.9997907,30,3,18,0,1
4098,D2C Brands,Mizoram - Lunglei,5,243722432.39432174,41,2,22,0,1
4099,SaaS,Punjab - Amritsar,5,160499400.4433225,23,3,24,0,1
4100,AgriTech,Nagaland - Tuensang,4,65221281.439358674,33,20,3,0,0
4101,AI/ML,Maharashtra - Mumbai City,2,75778934.97343028,41,17,21,0,1
4102,Gaming,Rajasthan - Barmer,5,219015556.08091247,15,1,16,0,0
4103,Healthcare,Gujarat - Morbi,1,70835760.83704868,57,11,16,0,0
4104,Fashion,Madhya Pradesh - Betul,1,35120036.76626237,3,16,2,1,0
4105,AgriTech,Odisha - Nuapada,4,284905645.366413,36,20,13,0,0
4106,EdTech,Jammu and Kashmir - Rajouri,2,57627669.42380853,8,10,20,1,0
4107,Automotive,Uttar Pradesh - Siddharth Nagar,2,151701593.18313578,4,20,5,0,0
4108,Fashion,Madhya Pradesh - Shajapur,3,23760469.559778243,16,6,24,0,1
4109,SaaS,Karnataka - Dharwad,1,44399937.01371409,44,2,24,1,1
4110,AgriTech,Arunachal Pradesh - Changlang,1,29119365.84268291,35,22,9,1,1
4111,Retail,Gujarat - Sabarkantha (Himmatnagar),1,27080979.479247943,23,7,16,1,1
4112,Healthcare,Assam - Tinsukia,1,10954438.804679247,19,17,1,0,0
4113,CleanEnergy,West Bengal - Howrah,5,280483163.2739198,47,8,11,0,0
4114,AgriTech,Arunachal Pradesh - Lower Dibang Valley,2,68882317.99854198,19,13,23,1,1
4115,Healthcare,Uttar Pradesh - Hardoi,3,228536940.63063186,35,22,20,0,1
4116,Automotive,Odisha - Sundargarh,5,292158869.649429,37,4,15,0,1
4117,FinTech,Karnataka - Bidar,2,76433652.30439332,47,11,15,0,0
4118,E-commerce,Telangana - Rangareddy,4,208189337.71985403,40,2,2,1,0
4119,Manufacturing,Assam - Udalguri,1,9950088.332179219,48,8,24,0,0
4120,AI/ML,Chhattisgarh - Surguja,3,147556093.80012414,39,18,17,0,1
4121,Fashion,Madhya Pradesh - Umaria,2,109922460.00545782,38,8,6,0,0
4122,FinTech,Bihar - Kaimur (Bhabua),4,51849320.615778275,53,11,9,0,0
4123,AI/ML,Madhya Pradesh - Chhindwara,1,56182246.342007026,19,24,7,1,1
4124,AI/ML,Bihar - Saran,4,162202218.20099524,44,5,17,1,1
4125,D2C Brands,Telangana - Komaram Bheem Asifabad,4,163885169.35352752,41,7,16,1,1
4126,PropTech,Madhya Pradesh - Chhatarpur,5,296341595.9718349,30,23,2,1,0
4127,EdTech,Sikkim - West Sikkim,4,154942066.4804201,13,4,7,0,0
4128,Travel & Tourism,Chhattisgarh - Mahasamund,5,112880231.96743011,19,22,19,0,1
4129,Food & Beverage,Himachal Pradesh - Kullu,5,136856452.2125008,32,10,4,0,1
4130,D2C Brands,Chhattisgarh - Surguja,4,241505363.1896961,16,6,24,0,1
4131,Fashion,Punjab - Sahibzada Ajit Singh Nagar (Mohali),2,20649348.075521026,41,13,19,0,0
4132,CleanEnergy,Gujarat - Botad,4,272247644.37294793,59,16,11,0,1
4133,E-commerce,Tamil Nadu - Pudukkottai,4,194661058.73433208,31,22,24,0,0
4134,Retail,Maharashtra - Kolhapur,2,119045633.12640569,37,2,5,1,0
4135,Automotive,Arunachal Pradesh - West Siang,1,30776583.003217567,29,24,22,0,0
4136,DeepTech,Telangana - Peddapalli,3,65116950.85028647,54,15,23,0,1
4137,Entertainment,Manipur - Ukhrul,1,65343177.97193123,16,8,9,0,0
4138,E-commerce,Odisha - Nabarangpur,4,50662557.26562604,44,17,9,0,0
4139,Healthcare,Jammu and Kashmir - Reasi,1,17439051.179636486,34,14,0,1,0
4140,EdTech,Tamil Nadu - Vellore,3,79107226.58077268,3,18,8,0,0
4141,FinTech,Odisha - Bhadrak,1,31341704.55405664,9,14,17,0,1
4142,Healthcare,Uttar Pradesh - Unnao,3,60822475.47335409,49,4,2,0,0
4143,Logistics,Tamil Nadu - Tiruvannamalai,1,73447217.1735523,34,21,0,0,0
4144,Food & Beverage,Gujarat - Gandhinagar,5,35192138.39752586,36,21,9,0,0
4145,D2C Brands,Kerala - Malappuram,4,261039871.74575076,19,22,2,0,0
4146,DeepTech,Kerala - Wayanad,3,107490714.20418164,27,23,17,0,1
4147,Retail,Andhra Pradesh - Chittoor,4,270834009.48253334,49,1,6,1,1
4148,Manufacturing,Karnataka - Chikkamagaluru (Chikmagalur),5,323486918.77182055,22,23,6,0,0
4149,EdTech,Meghalaya - East Jaintia Hills,1,14077803.64230052,29,6,21,0,1
4150,Healthcare,Delhi (NCT) - Shahdara,4,219924503.26080823,21,5,9,0,1
4151,Manufacturing,Uttar Pradesh - Unnao,1,33383480.9585135,53,15,12,0,1
4152,Food & Beverage,Uttar Pradesh - Sant Kabir Nagar,1,66575953.26962308,46,16,3,0,0
4153,Travel & Tourism,Rajasthan - Sirohi,4,275305580.5576904,21,22,11,0,1
4154,Food & Beverage,Assam - Biswanath,3,57535405.34543984,5,8,2,1,0
4155,CleanEnergy,Chhattisgarh - Balod,3,122695891.34801984,37,6,22,0,0
4156,PropTech,Kerala - Kasaragod,4,198321124.5483066,55,5,15,0,1
4157,FinTech,Bihar - Samastipur,3,137417134.65040553,35,6,10,0,1
4158,Travel & Tourism,Karnataka - Kolar,2,47765630.32175658,46,1,2,1,1
4159,D2C Brands,Chhattisgarh - Bastar,1,25436833.978045426,14,14,24,0,1
4160,Web3,Tamil Nadu - Erode,4,277457455.7217659,32,19,7,1,0
4161,AI/ML,Tamil Nadu - Karur,5,37262576.92529066,53,19,6,1,1
4162,Entertainment,Telangana - Rangareddy,4,98708902.19363701,40,15,13,0,1
4163,Retail,Haryana - Gurgaon,4,86922391.48663545,8,19,1,1,0
4164,E-commerce,Punjab - Fatehgarh Sahib,1,32800102.85803222,18,6,9,0,0
4165,CleanEnergy,Madhya Pradesh - Sagar,5,282288413.7482048,43,5,2,0,0
4166,Web3,Arunachal Pradesh - Kra Daadi,1,44919539.97370772,13,16,23,0,1
4167,EdTech,Maharashtra - Pune,3,136641650.012207,58,9,10,1,0
4168,Food & Beverage,Jharkhand - Simdega,4,239386302.7534303,56,15,18,0,1
4169,Travel & Tourism,Manipur - Kakching,1,65912048.763755545,55,22,7,0,0
4170,Logistics,Maharashtra - Yavatmal,2,33981174.59512444,31,8,19,1,1
4171,PropTech,Uttar Pradesh - Kanpur Nagar,4,52409153.45963329,49,8,4,1,1
4172,E-commerce,Punjab - Amritsar,3,82774235.88467984,35,4,8,0,1
4173,Web3,Kerala - Thiruvananthapuram,1,67066497.261965685,23,24,12,0,0
4174,Automotive,Uttarakhand - Tehri Garhwal,1,45630767.51834193,22,2,10,1,0
4175,EdTech,Uttar Pradesh - Gautam Buddha Nagar,2,31423859.409991898,10,16,1,1,1
4176,Retail,Arunachal Pradesh - Kurung Kumey,3,51840998.79749463,13,3,11,0,1
4177,Manufacturing,Haryana - Bhiwani,2,144740358.1007802,18,9,2,0,0
4178,DeepTech,Manipur - Chandel,4,130090620.94913448,17,4,14,0,1
4179,Automotive,Chhattisgarh - Sukma,5,120729729.86615652,6,2,0,0,0
4180,PropTech,Odisha - Sundargarh,1,57030519.71749436,20,19,23,0,1
4181,Retail,Andhra Pradesh - Prakasam,2,139117658.6480477,58,23,10,1,1
4182,Travel & Tourism,West Bengal - Burdwan (Bardhaman),1,38180749.80001029,29,15,24,0,1
4183,Gaming,Madhya Pradesh - Alirajpur,1,64334912.17364181,18,7,9,0,0
4184,D2C Brands,Maharashtra - Palghar,2,74505556.84422436,23,8,24,0,1
4185,SaaS,Rajasthan - Dungarpur,1,56856793.65548001,36,3,2,0,1
4186,EdTech,Daman and Diu (UT) - Diu,3,144334007.0706238,50,23,13,0,0
4187,AI/ML,Rajasthan - Pratapgarh,3,216250531.50567693,16,15,20,0,1
4188,Logistics,Uttar Pradesh - Etawah,5,146894276.76713827,20,1,15,0,0
4189,Fashion,Madhya Pradesh - Vidisha,3,188344328.2060651,48,16,8,0,0
4190,FinTech,Punjab - Fazilka,2,112590602.52365743,51,22,13,0,1
4191,Travel & Tourism,Uttar Pradesh - Rampur,3,203735353.25728664,27,3,20,0,1
4192,AgriTech,Andhra Pradesh - Vizianagaram,5,252827687.05372232,45,2,0,0,0
4193,Food & Beverage,Tamil Nadu - Krishnagiri,4,158041459.04181772,45,15,0,1,0
4194,Entertainment,Nagaland - Phek,4,34836230.96939668,57,4,3,0,0
4195,Manufacturing,Chhattisgarh - Dantewada (South Bastar),2,135954767.9579563,36,14,22,0,1
4196,Food & Beverage,Uttar Pradesh - Sant Kabir Nagar,5,366225455.9825907,44,9,22,0,1
4197,Automotive,West Bengal - Cooch Behar,3,116171984.71426591,24,22,22,1,1
4198,Entertainment,Haryana - Mewat,5,108348446.8345248,11,9,21,0,1
4199,Healthcare,Madhya Pradesh - Betul,1,53536660.65279351,23,14,0,0,1
4200,SaaS,Rajasthan - Bhilwara,5,70637673.98402661,48,15,18,1,1
4201,Web3,Uttar Pradesh - Aligarh,3,24190552.830624655,56,24,20,1,1
4202,Food & Beverage,Uttar Pradesh - Hapur (Panchsheel Nagar),2,53515906.06723551,12,5,11,1,0
4203,AgriTech,Uttar Pradesh - Ambedkar Nagar,1,55993471.03411963,56,24,19,0,0
4204,Manufacturing,Gujarat - Junagadh,5,330326212.0292045,27,2,3,0,0
4205,CleanEnergy,Jharkhand - Koderma,4,67056449.80310598,2,24,8,0,0
4206,Automotive,Assam - Dhubri,3,227883564.85849383,53,17,6,0,0
4207,Entertainment,Odisha - Malkangiri,2,92811463.49383529,37,11,24,0,1
4208,Automotive,Punjab - Fazilka,3,223183119.27206874,54,13,13,0,1
4209,Gaming,Gujarat - Vadodara,5,81171026.69912441,59,12,22,0,1
4210,AgriTech,Bihar - East Champaran (Motihari),2,78696339.6323715,22,3,2,0,0
4211,Web3,Maharashtra - Buldhana,4,149242758.42126933,9,23,14,0,0
4212,Automotive,Uttar Pradesh - Aligarh,1,35876944.119079284,21,20,10,0,0
4213,FinTech,Assam - West Karbi Anglong,5,374045579.1896776,46,13,9,1,0
4214,FinTech,Rajasthan - Jhunjhunu,2,137411773.29030854,18,15,19,0,1
4215,Entertainment,Bihar - Nawada,1,64570816.087436825,16,11,14,1,0
4216,E-commerce,Uttar Pradesh - Etawah,2,52918586.36325146,22,16,24,0,1
4217,Food & Beverage,Jharkhand - East Singhbhum,5,152140731.87221202,2,7,16,0,0
4218,Gaming,Madhya Pradesh - Katni,2,48895422.410627924,4,1,18,0,1
4219,Automotive,Kerala - Thiruvananthapuram,4,258045006.32408455,32,23,10,0,0
4220,Food & Beverage,Maharashtra - Sindhudurg,2,68923974.29133204,57,19,19,0,0
4221,FinTech,West Bengal - Bankura,5,392007630.414618,59,18,15,0,1
4222,Fashion,Nagaland - Wokha,2,64647443.58179524,32,9,3,1,0
4223,SaaS,Bihar - Samastipur,1,17733936.641807117,22,18,6,0,0
4224,Entertainment,Madhya Pradesh - Dewas,1,74739068.79249436,24,3,10,0,1
